lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"Cambria Brown","Open Women's 64kg",63.35,42,-45,-47,42,65,68,-71,68,110
"Madeleine Maher","Women's 14-15 Age Group 71kg",68.25,45,47,49,49,58,60,-62,60,109
"Kyla McDonough","Women's Masters (40-44) 71kg",71,-47,47,-49,47,58,61,-64,61,108
"ellen smith","Junior Women's 71kg",69.2,38,40,42,42,60,-63,63,63,105
"Ethan Walker","Men's 13 Under Age Group +73kg",97.85,45,-50,-50,45,53,57,60,60,105
"Noelle Gorinas","Women's 16-17 Age Group 71kg",64.45,-38,38,40,40,52,56,59,59,99
"Layla Berryman","Women's 16-17 Age Group 64kg",63.76,35,40,-45,40,50,55,-58,55,95
"Melanie Erwin","Women's Masters (35-39) 71kg",70.32,38,40,-42,40,49,52,54,54,94
"Ellie Kichler","Women's 13 Under Age Group 64kg",63.45,38,40,-43,40,50,53,-55,53,93
"Renee Michelle Burnette","Women's Masters (40-44) 76kg",71.5,37,39,41,41,47,49,51,51,92
"Ashley Bowen","Women's Masters (35-39) 59kg",58.6,38,-40,40,40,48,50,51,51,91
"Kaelyn Ansley","Women's 13 Under Age Group 55kg",49.35,33,36,39,39,48,51,-54,51,90
"Neil Fountain","Men's 13 Under Age Group 55kg",49.65,32,35,38,38,40,44,46,46,84
"Christopher Walker","Men's 13 Under Age Group +73kg",76.45,31,-35,35,35,40,44,47,47,82
"Leila Ray","Women's 13 Under Age Group 55kg",53.35,28,30,32,32,37,40,41,41,73
"Rachel Edwards","Women's 14-15 Age Group 59kg",56.35,28,30,-32,30,-37,37,-41,37,67
"Lilia Demers","Women's 16-17 Age Group 49kg",48.1,-30,30,32,32,30,32,35,35,67
"Talayna  Britt","Women's 13 Under Age Group 40kg",39.65,17,19,21,21,20,23,25,25,46
"Eduardo Marquez","Men's 13 Under Age Group 44kg",40.3,15,17,-19,17,20,-23,23,23,40
"John Little","Men's 13 Under Age Group 32kg",28.3,10,12,15,15,12,15,17,17,32
"Emma Katherine Arnold","Women's 13 Under Age Group 33kg",30.95,7,9,-11,9,13,15,-17,15,24
"Luca Jenkins","Men's 13 Under Age Group 39kg",38.95,-5,5,6,6,7,9,12,12,18
"Jayde Duncan","Women's 13 Under Age Group 30kg",21.25,5,6,7,7,5,7,10,10,17
"Jack Landers","Open Men's 73kg",73,-90,-92,-92,0,111,117,-122,117,0
"Jance Footit","Men's Masters (40-44) 102kg",98.8,-100,-100,-102,0,0,0,0,0,0
"Logan Thornton","Men's Masters (50-54) 102kg",98.9,-85,-85,-87,0,90,95,105,105,0
"Cayde Raymo","Men's 13 Under Age Group 44kg",43.55,-27,-27,-27,0,33,36,-40,36,0
"Joshua Gibson","Open Men's 96kg",91.9,100,106,113,113,-140,-146,146,146,259
"Leah  Vertullo","Open Women's 76kg",72.1,65,68,70,70,82,86,86,86,156
"Lindsey Wehseler","Open Women's 71kg",67.1,65,-68,-68,65,80,82,85,85,150
"Amy Slagel","Open Women's 71kg",71,55,-59,-60,55,73,-77,-78,73,128
"Elizabeth Hoffman","Women's Masters (45-49) 71kg",69.4,38,40,43,43,53,57,60,60,103
"Kanchana Venkatesh","Open Women's 64kg",60.2,-33,33,35,35,40,45,49,49,84
"Ralph Christian Pulido","Open Men's 89kg",87.42,104,110,0,110,124,132,140,140,250
"Jack Parisien","Junior Men's 73kg",71.61,90,94,-98,94,-115,115,-120,115,209
"Gavin  Schwinn","Junior Men's 81kg",77.66,78,81,85,85,104,110,115,115,200
"Adam St Germain","Men's Masters (35-39) 89kg",82.11,82,-85,86,86,-111,114,-118,114,200
"Owen Davis","Junior Men's 89kg",86.03,69,73,75,75,97,100,104,104,179
"Katherine Greisdorf","Open Women's 81kg",80.32,61,65,72,72,88,93,97,97,169
"Nicholas Kent","Open Men's 81kg",78.08,68,69,-71,69,88,91,93,93,162
"Emerson Conk","Junior Men's 81kg",73.78,69,-73,73,73,85,88,-91,88,161
"Evan Zhang","Junior Men's 96kg",93.61,63,66,69,69,80,85,89,89,158
"Laurel Houle","Open Women's 71kg",66.75,56,-61,61,61,72,77,83,83,144
"Jami LaCroix","Women's Masters (40-44) +87kg",99.37,52,55,58,58,70,73,-77,73,131
"Cara Beaudoin","Women's Masters (35-39) +87kg",119.63,48,51,54,54,69,74,-77,74,128
"Anna Belongia","Open Women's 81kg",80.58,50,-53,-54,50,70,73,-77,73,123
"Julia Polvino","Junior Women's 71kg",69.2,45,47,50,50,62,65,68,68,118
"Brianna Sturgeon","Women's Masters (35-39) +87kg",101.67,42,44,46,46,-62,62,-65,62,108
"Caroline Greaser","Junior Women's 71kg",65.23,40,43,-46,43,55,57,60,60,103
"Abigail Goldman","Junior Women's 71kg",64.41,40,42,45,45,50,52,55,55,100
"Mikaela Rath","Open Women's 76kg",75.63,39,-41,41,41,-53,53,-55,53,94
"Rose Corwin","Open Women's 71kg",67.58,31,33,35,35,39,42,-45,42,77
"Emma Privett","Junior Women's 71kg",68.34,32,34,36,36,35,37,40,40,76
"Iona McQuiston","Open Women's 76kg",72.36,21,23,-26,23,27,29,-31,29,52
"Alexander Rodriguez","Open Men's 96kg",95.6,130,135,140,140,165,170,180,180,320
"Christopher Branam","Men's Masters (35-39) 102kg",98,-122,125,130,130,158,163,-168,163,293
"Troy Walters","Open Men's 89kg",84.5,103,-108,111,111,140,-145,145,145,256
"Casey Pierce","Men's Masters (40-44) 109kg",108.7,101,105,111,111,130,140,-148,140,251
"David Kinslow","Open Men's 73kg",73,93,96,-100,96,125,130,-136,130,226
"Blair Agan","Open Men's 102kg",97.8,90,95,100,100,120,125,-130,125,225
"Bronson Rago","Open Men's 89kg",87.6,94,98,-102,98,115,119,122,122,220
"Jesse Clark","Men's 16-17 Age Group 89kg",81.9,80,88,93,93,110,120,-125,120,213
"Gavin Magnsuon","Men's 16-17 Age Group 96kg",95.4,85,88,91,91,105,111,120,120,211
"Clay Troyer","Open Men's 96kg",92.3,80,85,90,90,102,108,112,112,202
"Nate Goss","Men's 16-17 Age Group +102kg",118.9,80,84,90,90,105,110,-115,110,200
"Kellen Cosgrove","Open Men's 89kg",84.8,-80,80,85,85,110,115,-120,115,200
"Jackson White","Men's 16-17 Age Group 81kg",78.8,85,89,93,93,-105,-105,105,105,198
"Jackson  Johnson","Men's 16-17 Age Group 81kg",78.5,68,72,75,75,102,107,-110,107,182
"Bailey Randall","Open Women's 87kg",85.3,75,79,-82,79,96,-99,100,100,179
"Jackson Brewer","Men's 16-17 Age Group 81kg",78,65,68,71,71,90,95,99,99,170
"Allison Black","Women's Masters (35-39) 87kg",83.2,65,69,72,72,90,94,-98,94,166
"Aswin Ramesh","Open Men's 81kg",75.8,65,68,71,71,85,89,93,93,164
"Benton Ives","Open Men's 89kg",87.3,65,68,71,71,83,87,91,91,162
"Anna Konrath","Open Women's 64kg",63.4,-68,68,70,70,-86,86,91,91,161
"Scott  Sasse","Men's Masters (45-49) 81kg",76,65,-68,-68,65,85,90,94,94,159
"Shelbey Phelps","Open Women's +87kg",98.8,-72,72,-75,72,83,86,-90,86,158
"Madeline Shine","Open Women's 64kg",63.8,65,68,-71,68,82,-84,84,84,152
"Vincent Sasse","Men's 14-15 Age Group 67kg",65,64,67,70,70,75,81,-85,81,151
"Briana Baird","Open Women's 64kg",61,60,63,66,66,76,81,84,84,150
"Blaine Meyer","Men's 14-15 Age Group 67kg",63.4,55,58,-62,58,80,-85,85,85,143
"Glenna Asmus","Women's Masters (40-44) 87kg",82.7,50,53,56,56,60,64,68,68,124
"Isabel Jones","Open Women's 59kg",59,48,-51,-51,48,58,63,66,66,114
"Anabelle Dias","Open Women's 59kg",57.9,42,44,46,46,52,55,-57,55,101
"Lexa Marston","Women's 13 Under Age Group 49kg",48,38,41,-45,41,50,53,56,56,97
"Caden Awishes","Men's 13 Under Age Group 44kg",42,38,40,-44,40,49,51,-53,51,91
"Sylvia Sasse","Women's 16-17 Age Group 59kg",58,28,-30,30,30,30,34,40,40,70
"Quinn Corcoran","Men's 14-15 Age Group 67kg",62.7,-65,-65,-66,0,73,-78,78,78,0
"Bruno Lamberti","Open Men's 81kg",79.5,-78,-79,-81,0,100,-105,-108,100,0
"Shane Jensen","Men's Masters (35-39) 89kg",85.05,100,-105,105,105,125,-130,130,130,235
"Erik  Schreiber","Men's Masters (35-39) 96kg",95.35,104,107,-110,107,116,121,-125,121,228
"Daniel Kunitz","Men's Masters (55-59) 89kg",83.95,85,90,-95,90,107,112,-116,112,202
"Daniel Smith","Men's Masters (50-54) +109kg",148.15,78,82,-86,82,118,-123,-123,118,200
"wai yu","Men's Masters (35-39) 89kg",82.45,70,75,-82,75,91,-98,100,100,175
"Mike Zygmonski","Men's Masters (40-44) +109kg",120.65,62,66,70,70,88,92,96,96,166
"Danny Lapinski","Men's 14-15 Age Group 67kg",65.05,55,57,60,60,68,72,75,75,135
"Alaina Strates","Junior Women's 81kg",78.35,50,-54,55,55,60,65,-68,65,120
"Jennifer Nelson","Women's Masters (50-54) 59kg",55.35,43,45,47,47,55,58,60,60,107
"Olivia Blatt","Women's 13 Under Age Group +64kg",71.15,38,40,45,45,50,-55,55,55,100
"Sophia Merrick","Women's 16-17 Age Group 76kg",75.95,29,-32,32,32,-42,42,46,46,78
"Mason Hocker","Men's 13 Under Age Group 73kg",72.85,20,-23,23,23,25,30,33,33,56
"Mara  Messick","Women's 13 Under Age Group 36kg",35.85,12,14,16,16,18,20,23,23,39
"John Teggatz","Men's 16-17 Age Group +102kg",112.85,113,118,122,122,140,145,150,150,272
"Aidan Perez","Junior Men's 102kg",101.5,105,-110,-114,105,136,-141,-141,136,241
"Brandon Kha","Open Men's 89kg",86.2,88,-92,92,92,125,-130,130,130,222
"Chassity Del Balso","Women's 13 Under Age Group +64kg",66.6,54,57,60,60,70,75,80,80,140
"Jackson Carrigan","Men's 16-17 Age Group 67kg",65.3,43,46,48,48,75,-80,-80,75,123
"Avery Rotert","Women's 16-17 Age Group +81kg",87.85,43,45,50,50,55,-60,60,60,110
"Amanda Ryan","Open Women's 55kg",54.2,42,-44,44,44,54,57,60,60,104
"Susan Teggatz","Women's Masters (50-54) +87kg",111.7,38,41,-44,41,55,-58,58,58,99
"Corbin Hager","Men's 13 Under Age Group 61kg",58.55,24,25,26,26,31,33,35,35,61
"Ares Fallquist","Men's 13 Under Age Group 36kg",33.85,22,23,24,24,28,30,32,32,56
"Gavin Hickle","Men's 13 Under Age Group 61kg",59.2,23,24,25,25,27,29,31,31,56
"Grant Worthington","Men's 13 Under Age Group 55kg",53.5,21,22,24,24,27,29,31,31,55
"Brogan Bratsburg","Men's 13 Under Age Group 32kg",30.9,21,22,23,23,25,26,27,27,50
"Cael Ward","Men's 13 Under Age Group 44kg",41.05,20,21,22,22,25,27,-29,27,49
"Sawyer  Healy","Men's 13 Under Age Group 49kg",44.7,14,15,16,16,16,18,-20,18,34
"Brian Therrien","Men's Masters (35-39) 89kg",86.65,85,88,92,92,115,122,126,126,218
"Alexander Athanassiadis","Open Men's 89kg",86.6,76,84,90,90,89,100,-110,100,190
"Sayvanna SFabian","Open Women's +87kg",88.85,68,70,72,72,87,90,-92,90,162
"Jonathan Stroble","Men's Masters (50-54) 109kg",103.6,44,47,50,50,62,67,70,70,120
"Christina  Nieves","Open Women's +87kg",97.25,45,47,50,50,57,61,-64,61,111
"Adam Hawrylchak","Men's 14-15 Age Group 73kg",67.25,39,42,-45,42,55,58,-61,58,100
"Anne Herrick","Women's Masters (45-49) 71kg",64.4,43,-45,-45,43,51,53,-55,53,96
"Rachel Dwyer","Open Women's 76kg",74.1,53,-56,-58,53,-68,-70,-70,0,0
"Kellen Hoornaert","Junior Men's 89kg",83.5,73,80,-85,80,106,111,-116,111,191
"Adam Foley","Men's 16-17 Age Group +102kg",112,75,80,-84,80,85,90,-93,90,170
"Alex  Erickson","Men's 16-17 Age Group 73kg",69.1,62,65,68,68,82,85,88,88,156
"Jack Jelinek","Men's 16-17 Age Group 61kg",59.2,58,62,66,66,74,78,82,82,148
"Kaleb Leith","Men's 16-17 Age Group 81kg",76.1,57,61,-64,61,72,76,80,80,141
"Briley Thompson","Women's 16-17 Age Group 76kg",72.9,32,40,46,46,45,54,59,59,105
"Molly Carr","Women's 16-17 Age Group 71kg",65.1,37,40,-42,40,52,-58,-59,52,92
"Ebenezer Logan","Men's 16-17 Age Group 73kg",67.4,37,40,43,43,39,-42,42,42,85
"Kiera Wentz","Women's 16-17 Age Group 55kg",51.3,30,34,-37,34,40,44,49,49,83
"Anthony Owens","Open Men's +109kg",192,130,137,143,143,170,177,184,184,327
"Hampton Morris","Junior Men's 67kg",66.2,122,126,130,130,170,175,-180,175,305
"David Wright","Open Men's 96kg",94.8,121,126,-131,126,150,-155,155,155,281
"Matthew Fencik","Men's Masters (35-39) 96kg",94,-107,110,-113,110,130,135,-140,135,245
"Roy  Maher","Men's 14-15 Age Group 73kg",72.3,-95,95,-100,95,-125,125,-130,125,220
"Noah Branch","Open Men's 81kg",80.9,90,93,-96,93,107,112,116,116,209
"Michael Herzog","Men's Masters (50-54) 73kg",68.8,-90,90,-94,90,110,-115,115,115,205
"Jack Landers","Open Men's 73kg",72.7,75,80,85,85,100,106,110,110,195
"Scott Willis","Open Men's 81kg",76.6,85,88,91,91,98,101,104,104,195
"Gleysson Oliveira","Men's Masters (45-49) 96kg",95.8,83,88,95,95,95,100,-106,100,195
"Abraham Cha","Open Men's 73kg",72.8,83,88,-91,88,97,104,-109,104,192
"Daniel Hamill","Open Men's 81kg",81,75,79,83,83,102,107,-112,107,190
"Aleigh Moore","Open Women's 71kg",70.3,74,77,80,80,95,100,105,105,185
"Taylor Hewatt","Open Women's 87kg",86.1,76,78,80,80,92,95,98,98,178
"Alan Hicks","Open Men's 73kg",71.7,73,-77,-77,73,90,95,-100,95,168
"Charlie Simmons","Men's Masters (60-64) 89kg",88,61,63,66,66,80,83,87,87,153
"Virginie Beljour","Open Women's 49kg",47.3,61,63,65,65,79,82,86,86,151
"Jessie Barrett","Open Women's 87kg",84.6,56,59,61,61,76,-79,80,80,141
"Alanys Andrade","Open Women's 64kg",62.7,57,60,63,63,70,74,77,77,140
"Katelyn Lipa","Women's Masters (35-39) 71kg",68.7,60,-62,-64,60,72,75,-79,75,135
"Ayse Sukola","Women's Masters (40-44) 81kg",80.9,54,56,58,58,65,68,71,71,129
"Angele Bruce","Open Women's 76kg",74,50,53,55,55,65,68,72,72,127
"Faith Wilson","Open Women's 64kg",60.6,50,53,-58,53,65,68,73,73,126
"Haley Headrick","Open Women's 64kg",63.4,50,53,55,55,64,67,70,70,125
"Arianna Injeian","Open Women's 87kg",84.3,47,49,51,51,65,68,71,71,122
"Amanda York","Open Women's 64kg",62.7,49,52,54,54,56,60,65,65,119
"Sarah Michel","Open Women's 59kg",57.6,45,48,-52,48,55,60,-63,60,108
"Madeleine Maher","Women's 14-15 Age Group 71kg",69.4,45,48,-51,48,58,-61,-63,58,106
"Natalie  Richardson","Open Women's 81kg",77.3,-39,40,42,42,50,-53,-55,50,92
"Tyson Jenkins","Men's 13 Under Age Group 55kg",52.4,32,34,37,37,47,50,-53,50,87
"Allison Simmons","Women's Masters (60-64) 64kg",63.5,25,26,-27,26,31,33,35,35,61
"Susan Dalton","Women's Masters (50-54) 76kg",71.4,19,21,23,23,31,32,33,33,56
"Sarah McFarland","Women's Masters (40-44) 59kg",57.8,20,23,25,25,30,-33,-35,30,55
"Avery Wagner","Women's 16-17 Age Group 59kg",56,-35,35,-36,35,0,0,0,0,0
"John  Lieng","Open Men's +109kg",109.8,-90,-95,-95,0,110,0,0,110,0
"Jordan Jacobs","Men's Masters (40-44) 102kg",99.7,-108,110,-116,110,0,0,0,0,0
"Mark Higbee II","Men's 16-17 Age Group 73kg",70.88,-68,70,74,74,100,106,108,108,182
"Yash Sagar","Men's 14-15 Age Group 67kg",64.56,51,56,60,60,70,75,80,80,140
"Dryden Parchewsky","Men's 16-17 Age Group 73kg",68.75,43,57,51,57,51,56,-61,56,113
"Monica Dreher","Open Women's 87kg",84.33,38,41,-44,41,58,62,63,63,104
"Elena cruz","Women's 16-17 Age Group 64kg",62.74,45,47,-49,47,54,56,-58,56,103
"Mia Hancock-Williams","Women's 16-17 Age Group 64kg",63.93,38,41,44,44,50,54,58,58,102
"Hope Chaves","Women's 14-15 Age Group 55kg",52.92,20,-21,-23,20,24,26,28,28,48
"Sung An","Open Men's +109kg",126.15,135,140,145,145,175,180,183,183,328
"Albert Gonzales","Open Men's 102kg",96.48,-115,115,-125,115,145,150,160,160,275
"Enzo Mancini","Junior Men's 96kg",93,-107,-107,107,107,135,140,145,145,252
"Ryan Padron","Junior Men's 73kg",72.89,100,105,-110,105,137,-142,-143,137,242
"Jacob Bockelmann","Men's Masters (35-39) 89kg",87.47,100,-105,-105,100,134,140,-145,140,240
"Kyung-Tae Kim","Open Men's +109kg",125.35,100,105,-107,105,125,-130,135,135,240
"Dom Gomez","Men's Masters (35-39) 109kg",105.5,102,105,-108,105,122,127,132,132,237
"Raphael Dozzi","Men's Masters (35-39) 109kg",106.7,102,106,-110,106,131,-140,-140,131,237
"Matthew Palmer","Open Men's 81kg",79,96,99,102,102,122,127,132,132,234
"Bryan Amaral","Open Men's 96kg",90.25,95,99,-104,99,120,125,130,130,229
"James Woodley","Open Men's 73kg",67.6,98,101,-105,101,126,-130,-131,126,227
"Dwayne Deang","Junior Men's 81kg",78.61,90,-95,95,95,120,-125,125,125,220
"Alphonse Ortega","Junior Men's 89kg",83.6,-90,-90,93,93,113,117,-120,117,210
"Nick Legger","Men's Masters (35-39) 102kg",102,85,90,-93,90,110,115,120,120,210
"Borna Navab","Open Men's 96kg",93.51,-90,90,-93,90,110,113,116,116,206
"Razmig Shahvekilian","Junior Men's 73kg",72.14,83,85,88,88,110,-114,115,115,203
"Brittany Latham","Open Women's +87kg",88.4,-82,82,-84,82,112,116,119,119,201
"Mariana Duhne Aguayo","Open Women's +87kg",111,80,85,-90,85,105,110,115,115,200
"Alan Nava","Open Men's 96kg",92.78,75,80,83,83,108,-112,113,113,196
"Jared Caldwell","Open Men's 102kg",98.69,89,93,-97,93,98,-100,100,100,193
"Linden Pak","Open Men's 81kg",78.2,-78,78,83,83,-97,98,102,102,185
"Nicholas Cann","Open Men's 73kg",68,80,-84,-84,80,96,100,105,105,185
"Gregory Tuffy","Open Men's 81kg",79.22,76,80,-83,80,-98,101,-104,101,181
"Kevin Lee","Men's Masters (40-44) 96kg",95.88,-80,80,-85,80,90,94,97,97,177
"Jordyn Cooley","Open Women's 64kg",59.6,68,71,74,74,96,-99,-100,96,170
"Son Duong","Open Men's 109kg",102.89,70,75,80,80,85,90,-96,90,170
"Nadia Khan","Open Women's 71kg",70.8,68,-71,72,72,93,97,-100,97,169
"Geoffrey Price","Men's Masters (40-44) 89kg",88.5,70,73,-75,73,88,91,93,93,166
"Sibongile Sithe","Open Women's +87kg",97.7,65,68,71,71,80,85,90,90,161
"Luke Langley","Men's 16-17 Age Group 73kg",71.4,70,73,75,75,79,82,85,85,160
"Garrett Gargan","Men's Masters (45-49) 89kg",88.26,60,63,65,65,80,83,-86,83,148
"Jose Louie Baltero","Junior Men's 81kg",80,60,-63,63,63,80,-83,-83,80,143
"Preston Sparks","Men's 14-15 Age Group 61kg",55.4,61,64,66,66,-74,74,77,77,143
"Mira Ravi","Junior Women's 64kg",62.3,60,63,-66,63,76,-80,-80,76,139
"wendy spies","Women's Masters (45-49) 55kg",54.1,59,61,63,63,-70,70,-72,70,133
"Juliana Flynn","Open Women's 49kg",48.9,57,-59,-59,57,-73,-73,73,73,130
"Olga Krzyszton","Open Women's 76kg",72.7,-57,57,-59,57,69,71,-73,71,128
"Joe Norat","Men's Masters (35-39) 81kg",78.68,-50,50,55,55,70,-75,-75,70,125
"Megan Spears","Open Women's 81kg",80.2,56,58,-60,58,63,66,-69,66,124
"Sydney Uyeda","Junior Women's 81kg",79.3,55,59,-62,59,64,-68,-68,64,123
"Stevie Majoros","Women's 14-15 Age Group 71kg",66.3,44,48,51,51,65,-69,69,69,120
"Charlotte Pay","Open Women's 71kg",67.7,45,48,51,51,60,63,67,67,118
"JW Gurtis","Men's Masters (65-69) 96kg",94.9,42,47,52,52,-65,65,-70,65,117
"Jceyonna DeSoto","Open Women's 71kg",70.9,-51,51,-54,51,63,-67,-67,63,114
"Alyssa Hines","Women's 13 Under Age Group +64kg",64.6,48,50,-52,50,59,62,-65,62,112
"Lauren Ko","Open Women's 59kg",58.2,47,-51,51,51,57,-60,60,60,111
"liam gargan","Men's 13 Under Age Group 55kg",53.25,40,42,-44,42,50,52,-54,52,94
"Olivia Duong","Women's 14-15 Age Group 55kg",52,35,38,-42,38,47,51,55,55,93
"Jasmin Trinh","Women's 14-15 Age Group 40kg",39.7,33,36,39,39,42,-45,45,45,84
"Danielle Do","Women's 13 Under Age Group 45kg",44.4,32,34,36,36,43,45,-47,45,81
"Noah Sosa","Men's 13 Under Age Group 61kg",56,30,32,34,34,38,40,42,42,76
"Arin Santosh","Men's 13 Under Age Group 49kg",45.4,28,30,-32,30,-36,36,39,39,69
"Taylor Madlansacay","Women's 13 Under Age Group 55kg",50.6,23,24,25,25,27,30,33,33,58
"Eesha Pallath","Women's 13 Under Age Group 49kg",48.7,17,19,21,21,23,26,29,29,50
"Layla Johnson","Women's 13 Under Age Group 30kg",29.1,16,17,18,18,23,25,27,27,45
"Noelia Torres Perez","Women's 14-15 Age Group 64kg",63,14,16,18,18,21,23,-25,23,41
"Rudransh Chaudhry","Men's 13 Under Age Group 36kg",33,14,16,17,17,17,19,-21,19,36
"Everett Lee","Men's 13 Under Age Group 32kg",30.1,-12,12,14,14,15,18,-20,18,32
"Yuvir Chada","Men's 13 Under Age Group 32kg",27.9,10,11,12,12,10,11,12,12,24
"Avery Gillum","Women's 13 Under Age Group 30kg",23.4,-5,5,6,6,5,6,7,7,13
"Violet Ozalp","Women's 14-15 Age Group 49kg",46.4,-24,24,-26,24,0,0,0,0,0
"Brenton Weston","Men's 16-17 Age Group 81kg",80.1,88,-91,92,92,-115,-121,-121,0,0
"Kenly Pena","Men's Masters (35-39) 102kg",96.5,120,127,0,127,150,157,-158,157,284
"Bradley Nelson","Open Men's 96kg",95.9,105,110,117,117,140,145,150,150,267
"Ralph Christian Pulido","Open Men's 102kg",101,110,115,-120,115,145,150,-157,150,265
"Nicholas Connell","Open Men's 89kg",87.65,98,101,110,110,-140,-141,141,141,251
"Vincent Tavoletti","Open Men's 96kg",92.35,94,97,100,100,121,126,130,130,230
"Geoffrey Sullivan","Men's Masters (40-44) 96kg",90.15,80,83,85,85,116,119,-122,119,204
"Christopher Lam","Open Men's 81kg",74.15,83,87,-91,87,105,111,-122,111,198
"Charley Leonard","Open Women's 64kg",61.85,81,84,-87,84,110,113,-116,113,197
"Luke Quigley","Men's Masters (40-44) 102kg",99.75,80,-85,-85,80,97,103,111,111,191
"Anthony Schena","Men's Masters (45-49) 89kg",87.8,67,72,76,76,97,-103,103,103,179
"Stephanie Jefferson","Women's Masters (35-39) 64kg",63.95,68,71,-74,71,-89,90,-93,90,161
"Julia Key","Open Women's +87kg",112.85,70,-71,-71,70,90,-91,-91,90,160
"Erica Caso","Open Women's 71kg",70.25,68,-71,-71,68,92,-95,-95,92,160
"Amy Farrell","Women's Masters (45-49) 59kg",58.85,58,-62,64,64,75,80,85,85,149
"Olivia Smith","Open Women's +87kg",117.6,58,62,-68,62,77,-82,85,85,147
"Rachael Brouillet","Junior Women's 71kg",65.7,63,65,-67,65,75,78,81,81,146
"Rylie Rohloff","Women's 16-17 Age Group +81kg",102.55,55,58,61,61,75,79,82,82,143
"Nicole Johnson","Open Women's 64kg",63.25,55,58,61,61,75,79,82,82,143
"Rawan AlSarraf","Open Women's 71kg",64.45,59,-62,64,64,74,78,-81,78,142
"Morgan Hoose","Open Women's 81kg",76.65,57,59,61,61,77,80,-83,80,141
"Olivia Rowe","Open Women's 76kg",75.75,54,57,60,60,73,-77,79,79,139
"Stephen  Hansom","Men's Masters (50-54) +109kg",124.2,50,52,55,55,70,75,82,82,137
"Michelle Woogen","Women's Masters (35-39) 64kg",63.55,54,-57,58,58,67,70,73,73,131
"Morgan Gosselin","Open Women's 55kg",53.6,50,53,56,56,69,72,-76,72,128
"Sara Cherry","Women's Masters (35-39) 59kg",58.65,50,53,56,56,64,69,71,71,127
"Merrill Wilson","Open Women's 71kg",66.85,48,51,53,53,65,70,73,73,126
"Rebecca Murdoch","Women's Masters (35-39) 81kg",77.25,45,50,-55,50,64,70,-75,70,120
"Wren Burton","Open Women's 71kg",66.25,48,-51,51,51,58,62,66,66,117
"Lily Dickinson","Women's 16-17 Age Group 76kg",73.85,47,50,53,53,59,62,-65,62,115
"Adrienne Li","Women's 16-17 Age Group 55kg",54.25,46,48,50,50,57,60,63,63,113
"Isadora Delatorre Coldebella","Open Women's 55kg",53.75,45,48,50,50,60,-63,-64,60,110
"Caroline Feeney","Open Women's +87kg",93.95,40,42,44,44,-50,50,-55,50,94
"Gianna Vassilakis","Women's 16-17 Age Group +81kg",106.8,35,37,40,40,45,48,51,51,91
"Emily Paoloni","Women's 14-15 Age Group 55kg",54.95,40,-43,-43,40,45,48,50,50,90
"Nora Paoloni","Women's 14-15 Age Group 49kg",47.8,38,-40,-40,38,-48,48,51,51,89
"Miranda Alves","Open Women's 87kg",82.8,34,37,-39,37,43,46,50,50,87
"Mike Mariano","Men's Masters (60-64) 96kg",92.9,30,32,35,35,40,45,50,50,85
"Heather Sansoucy","Women's Masters (45-49) +87kg",97.15,28,30,35,35,37,41,-47,41,76
"Elizabeth Pratt","Women's Masters (55-59) 64kg",62.8,30,32,-33,32,38,40,-42,40,72
"Anna Kent","Women's 14-15 Age Group 55kg",51.45,22,24,26,26,28,30,33,33,59
"Caroline Klein","Women's 16-17 Age Group 64kg",60.7,22,23,26,26,25,27,30,30,56
"Lauren Palmateer","Open Women's 71kg",70.3,73,-75,75,75,-96,-97,-100,0,0
"Andrew Smiles","Open Men's 109kg",104.1,102,106,109,109,128,135,143,143,252
"Kyle Elmy","Open Men's 89kg",87.4,102,-106,-106,102,125,-136,-140,125,227
"Anthony Yasan","Open Men's 89kg",88.1,84,88,-92,88,110,115,120,120,208
"Akash Shingte","Open Men's 102kg",99.8,80,85,90,90,100,105,110,110,200
"Alex Tang","Open Men's 73kg",67.7,80,-104,-104,80,100,110,-120,110,190
"Danny Yang","Junior Men's 81kg",78.5,72,76,80,80,-95,95,100,100,180
"Gavin Dunkin","Junior Men's 73kg",71.9,65,70,73,73,85,90,-92,90,163
"Philip Najemy","Men's Masters (40-44) 89kg",82.2,60,64,67,67,86,91,94,94,161
"Michele Grelotti","Junior Women's +87kg",99,57,62,66,66,70,75,80,80,146
"Holly Lewis","Open Women's 81kg",79.9,53,-57,58,58,67,72,-75,72,130
"Isadora Delatorre Coldebella","Open Women's 55kg",53.9,45,47,-51,47,60,62,-64,62,109
"Amy Ingles","Women's Masters (40-44) 87kg",82.8,40,-43,43,43,50,56,-60,56,99
"Katelyn  Fecteau","Open Women's 59kg",59,32,35,38,38,-48,-48,48,48,86
"Chloe Zenker","Junior Women's 71kg",71,-35,35,37,37,45,-48,48,48,85
"Trinity Forgét","Junior Women's 76kg",74.8,30,35,-40,35,45,50,-54,50,85
"Beau Grimmel","Open Men's 96kg",93.9,90,95,-100,95,-120,-121,-121,0,0
"Matthew Bernier","Open Men's 89kg",88.95,-117,-120,-120,0,150,155,-160,155,0
"William Edwards","Open Men's 96kg",92.25,112,-117,-120,112,138,144,149,149,261
"Nathaniel Martin","Men's Masters (35-39) 96kg",94.5,107,-113,114,114,138,143,146,146,260
