lifter,age,bodyWeight,snatch1,snatch2,snatch3,snatchBest,cj1,cj2,cj3,cjBest,total
"","",0,0,0,0,0,0,0,0,0,0
"Sydney Meyer","Open Women's 71kg",66.05,65,-70,70,70,80,84,88,88,158
"Israel Rodriguez","Men's Masters (40-44) 96kg",92.9,75,78,85,85,112,115,120,120,205
"Jesus  Valenzuela","Open Men's 89kg",87.2,83,86,89,89,110,113,-116,113,202
"Houston Bailey","Men's 16-17 Age Group 89kg",86.2,56,60,64,64,75,82,90,90,154
"Michael Moy","Men's Masters (45-49) 96kg",90.9,65,67,70,70,80,84,-88,84,154
"Yilin Diao","Open Women's 81kg",76.2,51,54,57,57,62,65,70,70,127
"Bryant Charles","Men's 14-15 Age Group +89kg",92.4,51,55,-61,55,65,70,-75,70,125
"Mira Kwon Gracia","Women's Masters (50-54) 59kg",55.5,52,54,56,56,63,65,67,67,123
"Whitney Evans","Open Women's 64kg",61.3,49,51,53,53,63,66,-69,66,119
"Stephanie Lauritzen","Women's Masters (35-39) +87kg",119.8,42,45,49,49,52,55,59,59,108
"Taryn Frey","Open Women's 71kg",70.6,38,41,45,45,55,58,62,62,107
"Amanda Taddeo","Open Women's 71kg",66.3,41,43,45,45,52,54,-56,54,99
"Christina  Buzby","Women's Masters (40-44) 71kg",65.4,41,-44,-45,41,46,50,54,54,95
"Gavin Webb","Men's 13 Under Age Group 49kg",46.7,29,32,-34,32,33,36,50,50,82
"Maureen O'Hagan","Women's Masters (55-59) 64kg",63.5,27,29,31,31,36,38,41,41,72
"Soren Artman","Men's 13 Under Age Group 67kg",65.2,28,-32,-32,28,38,-42,-42,38,66
"Kaiya Kaeo","Women's 13 Under Age Group +64kg",83.3,23,25,27,27,25,28,30,30,57
"Lily Deibert","Women's 13 Under Age Group 49kg",46.9,20,22,23,23,26,-27,27,27,50
"Bailly Coons","Open Women's 87kg",84.7,46,49,51,51,65,68,-71,68,119
"Pierce Westbrook","Men's 13 Under Age Group 61kg",58.6,17,20,23,23,23,28,-32,28,51
"Wyatt Baack","Men's 13 Under Age Group 55kg",50,13,15,17,17,13,16,20,20,37
"Zane Brewer","Men's 13 Under Age Group 49kg",44.2,13,-15,15,15,-17,18,20,20,35
"Ryan Hlavaty","Men's 13 Under Age Group 44kg",40.6,12,13,17,17,17,18,-20,18,35
"Nehemiah  Pittman","Men's 13 Under Age Group 36kg",35.4,12,14,15,15,15,18,-21,18,33
"Azareya Aleman","Women's 13 Under Age Group 33kg",32.8,10,12,-14,12,15,17,18,18,30
"Brita Roegner","Women's 13 Under Age Group 30kg",27.4,10,11,-13,11,12,13,14,14,25
"Stewart Young","Men's Masters (35-39) 96kg",95.4,115,-120,-120,115,135,140,145,145,260
"Blake Stewart","Junior Men's 102kg",96.1,105,109,113,113,143,-147,-147,143,256
"Keaton OConnor","Open Men's 89kg",85.1,-110,110,-115,110,135,139,141,141,251
"Mitchell Welch","Men's Masters (35-39) 89kg",86.2,107,-112,113,113,125,-132,132,132,245
"Hunter McVey","Open Men's 96kg",92.3,95,98,102,102,130,135,142,142,244
"Jason Kusick","Men's Masters (45-49) 81kg",79.9,95,100,105,105,-122,123,127,127,232
"Britton Thompson","Open Men's 109kg",109,90,95,100,100,118,122,-127,122,222
"Christian Page","Open Men's 96kg",94.2,96,99,-102,99,120,123,-127,123,222
"Steven Coen","Men's Masters (35-39) 89kg",86.5,90,95,100,100,115,119,-123,119,219
"William Givian","Junior Men's 102kg",99.7,88,93,97,97,113,118,-122,118,215
"Tyler Cho","Open Men's 89kg",86.1,100,105,-111,105,110,-121,-123,110,215
"Mark Hufford","Men's Masters (45-49) 89kg",84.1,85,88,90,90,110,115,120,120,210
"Jesus Mejia","Men's 16-17 Age Group +102kg",136.2,85,88,91,91,102,106,109,109,200
"David Fritz","Men's Masters (45-49) 81kg",80.3,75,80,85,85,100,108,115,115,200
"Victor Martin","Open Men's 73kg",67.3,80,84,-87,84,-112,112,115,115,199
"Chris Todd","Open Men's 61kg",60.7,84,87,-92,87,108,-113,-113,108,195
"Cody Stassen","Open Men's 73kg",72,75,77,82,82,95,100,105,105,187
"Christian Williams","Open Men's 102kg",97.2,75,78,83,83,-103,-103,104,104,187
"Jack Wilson","Men's 14-15 Age Group 89kg",87.5,73,76,79,79,98,101,105,105,184
"Max Bolan","Men's 16-17 Age Group 81kg",78.7,67,71,75,75,90,95,100,100,175
"Alexis Wolfe","Open Women's 71kg",66.4,76,79,-82,79,96,-99,-99,96,175
"Jessica Bachkora","Women's Masters (35-39) 81kg",76.9,-78,80,-85,80,92,95,-98,95,175
"Christian Kennedy","Women's Masters (40-44) +87kg",91.7,75,-79,-80,75,93,98,-101,98,173
"Kinsley Rodden","Open Women's +87kg",126.4,70,74,78,78,87,90,-94,90,168
"KB HALIM","Men's Masters (45-49) 81kg",77.6,70,-74,-74,70,85,88,91,91,161
"Autumn Sands","Open Women's 71kg",65.6,69,-72,-73,69,86,89,92,92,161
"Oliver Taulborg","Men's 16-17 Age Group 73kg",71.1,65,68,70,70,83,87,-90,87,157
"Julia Pearson","Women's Masters (40-44) 76kg",75.5,63,66,69,69,83,-86,-86,83,152
"Gregory Whetstone","Junior Men's 89kg",87.5,50,55,60,60,80,85,91,91,151
"Morghan McGhee","Open Women's 71kg",66.1,60,-63,63,63,83,86,88,88,151
"mike wheeler","Men's Masters (55-59) 102kg",99.4,59,62,64,64,81,84,86,86,150
"jacob prospero","Junior Men's 102kg",100.2,61,65,69,69,70,74,77,77,146
"Braden Schriner","Junior Men's 89kg",86.7,55,60,63,63,72,75,80,80,143
"Shari Herrs","Women's Masters (40-44) 81kg",79.4,58,61,64,64,70,74,78,78,142
"Cassie Anglin","Open Women's 76kg",72.2,60,63,-65,63,70,73,76,76,139
"Addison Comstock","Junior Women's 64kg",60.3,57,60,-63,60,71,74,78,78,138
"Jay Coleman","Men's Masters (60-64) 102kg",100.7,57,60,-63,60,74,78,-83,78,138
"Aldan Michel","Junior Men's 89kg",87.6,47,53,60,60,-70,-70,75,75,135
"Annie Gorman","Open Women's 55kg",54.6,51,-54,55,55,70,73,77,77,132
"Irvin Mejia","Men's 14-15 Age Group +89kg",99.8,52,55,60,60,60,65,70,70,130
"JONAH BAHARIN","Men's 14-15 Age Group 61kg",55.6,53,-57,-57,53,70,74,76,76,129
"Raegan Stinemetz","Open Women's 64kg",63.1,54,56,-59,56,66,69,72,72,128
"Isaac Kusick","Men's 14-15 Age Group 61kg",57.4,-53,53,-55,53,67,71,75,75,128
"Alyssa Calvert","Open Women's 71kg",66.4,51,-54,-55,51,68,71,74,74,125
"Emma Schreiber","Women's Masters (35-39) 71kg",69.5,45,50,55,55,60,65,70,70,125
"Ava Kusick","Open Women's 64kg",61.6,50,53,55,55,65,68,-71,68,123
"Stacy Harrison","Women's Masters (45-49) 64kg",63.6,52,54,-57,54,63,65,67,67,121
"Paige White","Open Women's 71kg",70.8,44,47,50,50,64,68,70,70,120
"Alena Morris","Open Women's 59kg",59,45,48,51,51,-64,-65,66,66,117
"Elizabeth Berg","Open Women's 76kg",72.5,50,53,56,56,55,58,61,61,117
"Jessica Cruse","Women's Masters (35-39) 64kg",63.3,-50,52,-55,52,62,65,-68,65,117
"Larry Alvarez","Men's 16-17 Age Group 61kg",58.9,44,47,51,51,58,62,65,65,116
"Robert Gilsdorf","Men's Masters (70-74) 67kg",63.4,42,45,49,49,50,60,67,67,116
"Jolee Castro","Open Women's 64kg",60.1,47,50,53,53,56,60,63,63,116
"Allison Caywood","Women's Masters (35-39) 87kg",82.4,42,45,50,50,57,63,-70,63,113
"Katherine Harlow","Open Women's 81kg",77.7,43,-46,46,46,62,65,-67,65,111
"Brileigh Hoedl","Women's 16-17 Age Group 71kg",65.7,45,-49,50,50,57,-60,60,60,110
"Kathleen Linden","Women's Masters (50-54) 81kg",80.2,44,46,47,47,59,63,-66,63,110
"Jilien Potts","Open Women's 71kg",70.3,45,48,-51,48,55,58,-62,58,106
"William  Fortman","Men's 14-15 Age Group 73kg",70.3,40,43,46,46,53,57,60,60,106
"Jalee DeVader","Open Women's 64kg",61.2,-45,46,49,49,50,53,56,56,105
"Russell Ward","Junior Men's +109kg",117.5,40,44,-47,44,-60,60,-65,60,104
"Michael Schaeffer","Men's Masters (65-69) 61kg",60.7,42,44,-46,44,54,56,59,59,103
"Nate Addington","Men's Masters (35-39) 89kg",82.2,40,43,-45,43,50,55,-60,55,98
"Ivy Weiss","Open Women's 55kg",52,39,-42,-42,39,52,55,58,58,97
"Emersyn Formanek","Women's 13 Under Age Group 45kg",43.9,40,-43,-43,40,51,54,57,57,97
"Addison Williams","Women's 14-15 Age Group 55kg",50.5,36,39,42,42,48,51,53,53,95
"Mandi L Mitchell","Open Women's 76kg",75,35,37,39,39,48,51,54,54,93
"Lauren Widmer","Open Women's 71kg",65.8,36,-38,-38,36,50,52,54,54,90
"Carol Gregg","Open Women's 59kg",55.4,33,35,37,37,47,50,-53,50,87
"Violet Timmons","Junior Women's 59kg",58.8,30,34,38,38,42,45,48,48,86
"Colie Morales","Open Women's 64kg",62.6,-33,33,36,36,47,-50,50,50,86
"Kelbi Markham","Open Women's 55kg",53.6,27,30,-32,30,36,39,43,43,73
"Rachel Addington","Women's Masters (35-39) 64kg",59.2,27,29,31,31,35,38,41,41,72
"Candace Barnes","Open Women's 87kg",81.7,-32,32,-34,32,35,37,39,39,71
"Stephaine Taulborg","Women's 13 Under Age Group +64kg",67.3,27,-29,29,29,40,42,-44,42,71
"Hadley Chandler","Women's 13 Under Age Group 59kg",58.2,25,28,30,30,33,36,39,39,69
"William Henry","Men's 13 Under Age Group 44kg",43.7,26,28,31,31,34,37,-41,37,68
"CHERYL SCHUMACHER","Open Women's 71kg",69.6,26,28,30,30,32,35,-37,35,65
"Amanda DeMoss","Women's Masters (40-44) +87kg",94.3,24,-26,-27,24,34,-36,-36,34,58
"Harper Haeberle","Women's 13 Under Age Group +64kg",65,22,24,26,26,28,31,-33,31,57
"Jovee Terry","Women's 13 Under Age Group 45kg",41.8,20,22,24,24,28,30,33,33,57
"Maddox Hardy","Men's 13 Under Age Group 49kg",47.1,20,22,24,24,28,30,-31,30,54
"Sophia Kusick","Women's 13 Under Age Group 40kg",39.3,-22,22,24,24,27,29,-31,29,53
"Knox Brown","Men's 13 Under Age Group 67kg",65.3,18,20,22,22,28,-30,30,30,52
"Jett Finley","Men's 13 Under Age Group 39kg",38.8,18,20,22,22,28,-30,30,30,52
"Ashlyn Reathaford","Women's 13 Under Age Group 55kg",52.5,18,20,-22,20,25,27,29,29,49
"Wednesday Hackleman","Women's 13 Under Age Group 40kg",38.3,18,20,-22,20,25,27,-30,27,47
"NOR AMINA BAHARIN","Women's 13 Under Age Group 40kg",38.1,18,-20,20,20,24,26,-28,26,46
"Trace Brown","Men's 13 Under Age Group 32kg",28.1,14,15,16,16,22,-25,25,25,41
"Ava Jackson","Women's 13 Under Age Group 45kg",40.9,11,13,-15,13,18,20,-22,20,33
"Everly Hufford","Women's 13 Under Age Group 40kg",39.6,12,14,15,15,14,16,18,18,33
"Sarah Deaton","Women's Masters (35-39) +87kg",92.9,55,58,-61,58,-70,-70,-72,0,0
"Jonathan Willmoth","Men's Masters (45-49) 67kg",66.3,-82,-82,-82,0,0,0,0,0,0
"Mary Wilson","Women's 16-17 Age Group +81kg",81.3,32,34,36,36,-35,-35,-35,0,0
"Troy Fries","Open Men's 89kg",85.65,-130,130,135,135,160,168,175,175,310
"Caleb Goodman","Open Men's 89kg",85.45,130,-140,-140,130,-174,174,-182,174,304
"John Gilleland","Men's Masters (40-44) 89kg",88.7,121,125,128,128,152,-156,-160,152,280
"Andrew Bator","Open Men's 96kg",93.7,130,-135,-136,130,150,-155,-157,150,280
"Eugene Yi","Open Men's 109kg",104.6,122,-126,-128,122,138,145,152,152,274
"James Sayger","Open Men's 96kg",95.3,107,110,113,113,150,-154,154,154,267
"Julian Moore","Open Men's 96kg",95.35,-113,115,-118,115,142,146,-150,146,261
"Ryan Newton","Open Men's 109kg",107.5,107,-111,112,112,128,133,140,140,252
"Christian Wallace","Open Men's 81kg",80.5,105,110,-115,110,135,140,-146,140,250
"Benjamin Tieu","Open Men's 81kg",80.65,-108,108,-112,108,135,-140,140,140,248
"Noah Ranno","Open Men's 81kg",79.3,104,107,-110,107,-136,136,-142,136,243
"Vincent Shelah","Junior Men's +109kg",114.4,107,112,-116,112,123,128,-135,128,240
"Dylan Wood","Open Men's 89kg",81.8,100,-104,104,104,125,130,134,134,238
"Shane Jensen","Men's Masters (35-39) 89kg",85.45,-105,105,-109,105,126,131,-136,131,236
"Samuel Winiarski","Open Men's 89kg",88,98,102,106,106,121,124,128,128,234
"David Anderson","Men's Masters (40-44) 96kg",94.9,94,97,100,100,-126,127,131,131,231
"Emmanuelle  Alvarado","Open Men's +109kg",126.9,91,94,-98,94,123,129,133,133,227
"Christopher Camenares","Open Men's 67kg",66.5,88,92,95,95,125,131,-137,131,226
"Maxwell Davis","Open Men's 109kg",102.3,98,102,105,105,120,-127,-127,120,225
"Timothy Everhart","Open Men's 73kg",72.5,99,-103,-103,99,118,121,125,125,224
"Ben Zwilling","Open Men's 96kg",93.9,93,97,-100,97,118,-125,126,126,223
"Alfred Westley","Open Men's 89kg",86.85,95,-99,-101,95,122,-125,-125,122,217
"Christopher Mueller","Men's Masters (40-44) 81kg",80.5,88,91,93,93,118,121,-123,121,214
"Ethan Christian","Open Men's 81kg",77.25,82,86,-91,86,122,128,-135,128,214
"Joe Korchnak","Men's 16-17 Age Group +102kg",107,86,89,92,92,112,116,120,120,212
"Mitchell Ferguson","Men's 16-17 Age Group 96kg",94.5,87,89,91,91,113,117,120,120,211
"William Everett","Men's Masters (35-39) 102kg",100.9,-85,87,-90,87,119,-123,123,123,210
"Richard Stewart","Men's Masters (45-49) 96kg",92.95,90,95,97,97,105,110,-113,110,207
"Austin Wright","Open Men's 89kg",87.75,83,86,90,90,108,112,116,116,206
"Neil Roberts","Men's Masters (40-44) 89kg",88.15,88,91,-94,91,109,-112,113,113,204
"James Blanton","Open Men's 109kg",105.6,74,80,83,83,112,-117,120,120,203
"Abigail Richards","Open Women's 71kg",70.7,87,90,-92,90,106,109,-111,109,199
"Bryan Mahoney","Open Men's 109kg",107.7,80,83,86,86,100,108,112,112,198
"LeKiesha White","Women's Masters (35-39) +87kg",94.8,78,81,85,85,103,107,112,112,197
"Keshav Nair","Junior Men's 73kg",71.2,84,87,-90,87,106,110,-113,110,197
"Robert O'Day","Men's Masters (60-64) 89kg",87.95,83,86,89,89,105,108,-112,108,197
"George Gallaway","Men's Masters (40-44) 109kg",105.8,82,85,88,88,98,102,106,106,194
"Kenneth Shillingburg","Open Men's 81kg",80.5,77,82,-85,82,97,102,108,108,190
"Gregory Casanova","Men's Masters (45-49) 73kg",73,76,81,84,84,94,98,105,105,189
"Victoria Fries","Open Women's 76kg",74.3,78,82,-86,82,95,100,106,106,188
"Bernard Yuan","Open Men's 73kg",67.8,-79,79,81,81,100,104,107,107,188
"Garrett Bluntzer","Open Men's 81kg",75.9,80,83,-86,83,-100,100,105,105,188
"Zachary Kirsner","Open Men's 89kg",87.65,74,77,80,80,102,106,108,108,188
"Alisha Thresher","Women's Masters (35-39) 76kg",75.7,70,75,80,80,90,95,100,100,180
"Anthony Geeza","Open Men's 81kg",78.9,74,77,80,80,95,100,-105,100,180
"Kiara Earle","Open Women's 87kg",85.2,-73,73,76,76,92,95,100,100,176
"Ankit Bhandary","Open Men's 81kg",80.5,80,83,-86,83,-93,-93,93,93,176
"Ferron Harris","Men's Masters (35-39) 81kg",75.25,73,76,80,80,90,-94,95,95,175
"Mike Ferris","Open Men's 89kg",87.5,77,79,81,81,88,91,94,94,175
"Thomas Phillips","Men's 16-17 Age Group 81kg",73.45,70,75,80,80,91,95,-100,95,175
"Couger Jaramillo","Open Women's 64kg",63.5,70,73,75,75,90,95,98,98,173
"Lauren McHugh","Women's Masters (35-39) 87kg",85.3,72,74,-76,74,93,96,98,98,172
"John Dunkum","Open Men's 67kg",65.2,68,72,-76,72,89,94,98,98,170
"Danny Lapinski","Men's 16-17 Age Group 67kg",66.45,70,74,-80,74,-88,92,96,96,170
"Lincoln  Puls","Men's 16-17 Age Group 102kg",98.7,-75,75,-80,75,90,95,-100,95,170
"Connor Tyler","Men's 16-17 Age Group +102kg",119.5,69,-72,73,73,88,94,-100,94,167
"Tereka Clark","Women's Masters (35-39) 81kg",77.2,64,-67,68,68,90,94,98,98,166
"Quinn Guevara","Open Men's 96kg",92.95,59,64,-67,64,89,93,100,100,164
"Elouise Schultz","Junior Women's 64kg",62.7,64,67,70,70,81,85,90,90,160
"Telicia Berry","Open Women's +87kg",90.1,63,-67,67,67,83,87,91,91,158
"Michal Komemi","Women's Masters (35-39) 59kg",58.9,66,69,-73,69,-83,83,86,86,155
"Stephany Wilson","Open Women's 64kg",63,70,-73,-74,70,80,83,85,85,155
"Wynter Montgomery","Women's 16-17 Age Group 71kg",65.6,63,66,69,69,78,-82,84,84,153
"Maria Hayden","Open Women's 59kg",57.2,61,64,67,67,75,80,85,85,152
"John Wilson","Men's Masters (55-59) 109kg",103.3,66,68,-70,68,80,82,84,84,152
"Shoubry Sos","Open Men's 73kg",67.6,-60,64,68,68,78,81,-85,81,149
"Kiki Malomo-Paris","Open Women's 76kg",73.4,-71,71,-74,71,74,77,-80,77,148
"Chelsea Rebholz","Women's Masters (35-39) 71kg",67.7,-65,-67,67,67,-77,78,80,80,147
"Brittlan Wall","Open Women's 71kg",69.9,64,66,69,69,75,78,-81,78,147
"Lisa Bagby","Women's Masters (40-44) 87kg",84.4,53,55,57,57,82,85,88,88,145
"Alexandria Bailey","Open Women's 64kg",63.5,58,-61,63,63,78,82,-85,82,145
"Laney Yost","Junior Women's 55kg",51.3,-63,64,-66,64,80,-83,-83,80,144
"Meredith Reyes","Women's Masters (35-39) 55kg",54.2,-58,58,-64,58,82,-85,85,85,143
"Jason Begun","Men's Masters (35-39) 81kg",79.05,50,53,56,56,72,76,80,80,136
"Megan Connell","Women's Masters (40-44) 71kg",69.7,54,57,59,59,67,70,72,72,131
"Kamille  Basaca","Open Women's 87kg",82.7,50,53,55,55,68,71,74,74,129
"Jane Jones","Women's Masters (40-44) 55kg",54.7,50,53,-57,53,-71,71,75,75,128
"Andrea Sudjapun","Women's Masters (40-44) 59kg",58.9,55,-57,-57,55,-65,66,68,68,123
"Sophia Barrett","Open Women's 71kg",69.1,-51,51,54,54,63,66,69,69,123
"Sarah Jennings","Women's Masters (35-39) 64kg",61,47,-50,-53,47,66,69,73,73,120
"Melissa Erickson","Open Women's 64kg",59.8,50,-53,-53,50,65,67,-69,67,117
"Marjolene Luttrell","Women's Masters (40-44) 55kg",54.7,48,51,-54,51,62,65,-68,65,116
"Gwendolyn Montgomery","Women's Masters (45-49) 71kg",69.9,51,-53,53,53,57,60,63,63,116
"Jessica Prashaw","Open Women's 49kg",48,46,49,51,51,59,61,64,64,115
"Veronica Noone","Women's Masters (45-49) 81kg",80.8,46,49,-52,49,-64,65,-68,65,114
"Jane Kruszewski","Women's Masters (35-39) 81kg",76.6,-48,-48,48,48,60,62,64,64,112
"Kristin Frye","Open Women's 71kg",70.7,46,49,52,52,58,-62,-63,58,110
"Keely Lockwood","Junior Women's 59kg",57.1,41,44,47,47,57,60,-63,60,107
"Heather Myers","Women's Masters (35-39) 81kg",80,45,48,-53,48,55,-60,-63,55,103
"Alyssa Walker","Open Women's 71kg",66.5,40,42,44,44,55,57,59,59,103
"Gia Wilson","Women's 16-17 Age Group 64kg",60.1,43,46,-49,46,55,57,-60,57,103
"Aidan Rubin","Men's 14-15 Age Group 55kg",53.65,36,-40,42,42,50,55,59,59,101
"Kylee Wolfe","Open Women's 76kg",74,39,41,-43,41,53,55,57,57,98
"Matthew Locraft","Men's 16-17 Age Group 67kg",63.35,36,40,41,41,50,55,-59,55,96
"Erika Faust","Open Women's 81kg",79,35,37,39,39,50,52,54,54,93
"Eliana Fridman","Women's 13 Under Age Group +64kg",87.4,35,38,41,41,47,49,51,51,92
"Adriana X Gomez","Open Women's 64kg",61.9,37,39,41,41,44,47,49,49,90
"Jana Berhow","Women's Masters (55-59) +87kg",113.2,35,37,39,39,45,47,49,49,88
"Alyssa Domboski","Women's 14-15 Age Group 71kg",65.9,31,34,37,37,46,49,51,51,88
"Lorrie Byrne","Women's Masters (45-49) 71kg",68.5,35,37,39,39,44,-47,48,48,87
"Jennifer Willis","Women's Masters (40-44) 55kg",52.6,34,36,38,38,39,-41,41,41,79
"Nneka Gordon","Women's Masters (45-49) +87kg",110.8,30,32,-34,32,43,45,47,47,79
"Doncella Young","Women's Masters (65-69) 87kg",82.3,30,32,34,34,35,38,41,41,75
"Karen King","Women's Masters (70-74) 76kg",74.3,27,29,31,31,40,42,44,44,75
"Zachary Goldman","Men's 14-15 Age Group 73kg",69.15,30,32,35,35,35,-37,37,37,72
"doron petersan","Women's Masters (50-54) 71kg",71,28,-30,-30,28,40,43,-45,43,71
"Endora Fleming","Women's Masters (50-54) 76kg",74.8,26,27,28,28,35,38,40,40,68
"Talia Fourie","Open Women's 55kg",54.2,-29,29,-31,29,37,39,-42,39,68
"Prithviraj Mukherji","Men's Masters (75-79) 73kg",70.45,28,29,30,30,30,31,-33,31,61
"Ferron  Harris","Men's 13 Under Age Group 39kg",36.85,22,24,-26,24,33,35,37,37,61
"Adam Sowayan","Men's 13 Under Age Group 32kg",30.4,18,20,21,21,22,24,26,26,47
"Makayla Cogan","Open Women's 55kg",54.8,-65,67,-69,67,-80,-83,-83,0,0
"Ashlee Benge","Open Women's 71kg",65.5,-56,-58,-60,0,0,0,0,0,0
"Chad Blomquist","Men's Masters (35-39) 102kg",99.8,85,89,-93,89,-106,-106,-106,0,0
"Madison Martin","Open Women's 59kg",58.06,36,39,-42,39,51,54,-57,54,93
"Kristofer Poole","Open Men's 89kg",87.5,-105,105,110,110,130,135,140,140,250
"Darwyn Walker II","Men's Masters (35-39) +109kg",122.9,100,-105,105,105,128,135,-140,135,240
"Joshua Bryan","Open Men's 102kg",98.8,100,-105,-107,100,120,125,130,130,230
"Sean McClanahan","Open Men's 81kg",80.6,85,89,-92,89,110,114,-118,114,203
"Sydney Wesberry","Open Women's 87kg",86.3,-80,80,83,83,98,101,-107,101,184
"Nicholas Shaub","Open Men's 81kg",76,73,76,-80,76,95,100,-104,100,176
"Tyson Albright","Open Men's 89kg",86.8,60,66,71,71,72,77,84,84,155
"Bich Pham","Women's Masters (35-39) 59kg",58.1,60,64,-68,64,75,-80,-80,75,139
"Angel Quintero","Junior Men's 73kg",69,-107,110,-115,110,135,140,-145,140,250
"Kaden Quick","Men's 16-17 Age Group 89kg",85,-100,-100,100,100,133,138,-143,138,238
"Frank Jimenez","Men's 16-17 Age Group 102kg",101,95,100,-105,100,115,-120,-121,115,215
"Jossie Junior","Open Men's 81kg",80,84,88,-92,88,101,106,111,111,199
"Janae Ivery","Women's Masters (35-39) 71kg",68.65,73,76,-80,76,85,89,92,92,168
"Nicholai Smelt","Junior Men's 96kg",94,70,75,-80,75,92,-100,-102,92,167
"Jenna Holland","Open Women's 71kg",70.3,69,72,-75,72,89,92,95,95,167
"Neeko Washington","Men's 16-17 Age Group 73kg",72,66,-75,-75,66,95,-100,-107,95,161
"Thomas Fabbricatore","Men's Masters (45-49) 89kg",83,60,65,-71,65,75,80,86,86,151
"Luke Vanderhoff","Junior Men's 61kg",56,-65,65,-70,65,80,85,-91,85,150
"Anasia Clairvoyant","Open Women's 59kg",58.35,60,63,-66,63,75,78,81,81,144
"Jason Martin","Open Men's 81kg",74,52,56,62,62,65,70,82,82,144
"Johnelys Díaz","Open Women's 81kg",80.65,56,58,61,61,76,79,-81,79,140
"Jenifer Ramirez","Open Women's 45kg",44.8,49,-51,-51,49,61,-63,-64,61,110
"Sara Testa","Open Women's 55kg",54.6,43,45,-47,45,60,63,-65,63,108
"Ana Lawler","Women's 16-17 Age Group 64kg",59.75,39,-41,-41,39,50,53,55,55,94
"Riley  Ruffner","Junior Women's 64kg",61.25,35,37,40,40,40,43,47,47,87
"Penelope Perez","Women's 13 Under Age Group +64kg",71,30,35,-40,35,40,45,50,50,85
"Sydney williams","Women's 14-15 Age Group 71kg",69.65,0,0,0,0,0,0,0,0,0
"Christofer Howell","Open Men's 102kg",101,100,-110,0,100,0,0,0,0,0
"Javon Wilson","Open Men's 102kg",101.8,132,-138,-140,132,175,180,-185,180,312
"Gladimy Coffy","Open Men's 102kg",99.9,135,140,-145,140,165,-170,170,170,310
"Daniel Russell","Men's Masters (35-39) 109kg",109,130,-135,137,137,-160,160,-168,160,297
"Marqueze Lutz","Open Men's 109kg",103.3,125,130,133,133,150,-155,-155,150,283
"Alvin Torres","Junior Men's 89kg",88.6,112,116,120,120,150,-155,-160,150,270
"Blade Karlsen","Open Men's 89kg",83.4,-120,120,-125,120,140,150,-156,150,270
"Joshua Canet","Junior Men's 89kg",85.6,114,-118,121,121,140,-145,-150,140,261
"CJ Fernandez","Junior Men's 89kg",83.1,110,120,-130,120,140,-150,-160,140,260
"Nicolas Ferdico","Junior Men's 109kg",105.3,115,-120,120,120,-140,140,-147,140,260
"Nicholas Pippin","Junior Men's 81kg",79.4,-115,115,-120,115,-140,-140,140,140,255
"Christopher Boudreau","Open Men's 81kg",79.3,108,-112,115,115,125,130,135,135,250
"Julio Delgado","Junior Men's 89kg",87.6,109,114,-120,114,130,135,-143,135,249
"Sean Major","Junior Men's 102kg",99.8,95,100,-102,100,134,140,-143,140,240
"Paul Behar","Open Men's 89kg",87.4,104,-109,109,109,126,-131,-137,126,235
"Zachary Schwartz","Junior Men's 81kg",78.8,100,105,-110,105,115,120,-125,120,225
"Jakobe Morgan","Open Men's 67kg",65.6,92,98,-104,98,117,125,-131,125,223
"Ciprian luna","Men's 16-17 Age Group 89kg",83.6,98,102,-106,102,115,120,-125,120,222
"Evan  Kniss","Men's 14-15 Age Group 89kg",86.8,88,91,95,95,111,-116,121,121,216
"Jose Correa","Junior Men's 89kg",87.9,88,92,-96,92,113,117,121,121,213
"janardan Bautista","Open Men's 81kg",76.3,94,-98,100,100,112,-116,-118,112,212
"Lane Stewart","Men's 16-17 Age Group 81kg",77.9,85,-90,90,90,106,112,-116,112,202
"Tyler Mette","Junior Men's 81kg",73.6,85,88,91,91,105,110,-118,110,201
"Enzo Goldflust","Men's 16-17 Age Group 81kg",74.4,85,88,91,91,100,105,109,109,200
"Shreyas Sathya","Open Men's 67kg",66.4,86,90,-93,90,100,106,-110,106,196
"Joey Sepsick","Men's 16-17 Age Group +102kg",132.5,75,-80,82,82,104,107,111,111,193
"Michael Ziss","Men's 16-17 Age Group 55kg",54.8,83,-88,-90,83,107,-111,-111,107,190
"Vanay Lyttle","Open Women's 87kg",84,81,-85,85,85,99,105,-111,105,190
"Christopher  MCDONALD","Men's 16-17 Age Group 73kg",71.2,76,79,83,83,100,104,-108,104,187
"Kyle Watson","Men's 16-17 Age Group 89kg",85,75,78,81,81,100,103,105,105,186
"Conner McCullen","Open Men's 81kg",77.9,75,78,81,81,91,95,100,100,181
"Palmer Agelvis","Men's 16-17 Age Group 81kg",79.9,73,77,-81,77,98,103,-108,103,180
"Nick Lawrence","Junior Men's 67kg",62.3,74,78,-80,78,-97,98,102,102,180
"Aleah Baron","Women's 16-17 Age Group +81kg",117.6,69,72,75,75,100,104,-106,104,179
"Michelle Ramsey","Open Women's 81kg",79.6,72,76,-80,76,90,95,-100,95,171
"Jathon Pasick-gerdeman","Junior Men's 102kg",102,68,72,-76,72,88,91,96,96,168
"Reese Butler","Women's 16-17 Age Group +81kg",96.2,-69,69,73,73,85,89,93,93,166
